Date,NFD,subject,insertions,deletions,total_comment_count,submitter,ndncxx
16-Feb-19,1,Replace nfd::getExtendedErrorMessage with boost::diagnostic_information,44,107,2,1,4
16-Feb-19,1,Replace all uses of BOOST_THROW_EXCEPTION with NDN_THROW,257,277,1,1,10
7-Feb-19,1,core: Fix compilation error when privilege drop is not supported,3,3,1,1,12
5-Feb-19,1,core: use ndn-cxx's getRandomNumberEngine(),15,164,7,5,1
4-Feb-19,7,Prepare release 0.6.5,60,10,13,1,5
30-Jan-19,1,build: Upgrade waf build system to version 2.0.14,7,8,0,1,4
30-Jan-19,1,systemd: allow nfd-status-http-server to bind to any port,2,1,0,5,4
25-Jan-19,5,fib: add EndpointId field in NextHop record,263,153,133,5,7
24-Jan-19,6,core: use ndn-cxx scheduler::ScopedEventId,43,246,1,5,3
18-Jan-19,1,systemd: allow AF_NETLINK in ndn-autoconfig-client.service,1,1,0,1,1
18-Jan-19,2,systemd: add WantedBy=nfd.service to units that bind to nfd,3,0,3,1,7
17-Jan-19,18,fw: implement self-learning forwarding strategy,447,12,277,1,1
16-Jan-19,1,fw: delete deprecated ClientControlStrategy,1,113,0,5,4
14-Jan-19,5,"systemd: improve nfd.service, add unit files for tools",322,186,11,1,87
13-Jan-19,3,Add git .mailmap,14,0,3,1,3
4-Jan-19,1,contrib: remove obsolete upstart files,9,160,4,1,2
4-Jan-19,1,core: seed the global PRNG with more entropy,5,3,0,1,1
3-Jan-19,1,tests: don't throw if NetworkMonitor lacks CAP_ENUM,10,21,2,1,2
